Subfolder,Filename,DealNumber,Kind,NorthHand,EastHand,SouthHand,WestHand,Dealer,Student,Auction,Contract,Declarer,Lead,Analysis
100NT,deal38.html,38,BID+NEXT+ROTATE,S:KJ3 H:J83 D:74 C:JT954,S:76 H:KT7 D:QJ62 C:Q762,S:AQ9 H:A642 D:AT93 C:AK,S:T8542 H:Q95 D:K85 C:83,South,South,2NT | pass 3NT pass pass | pass pass pass,3NT,South,S4,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3NT]\n[show NS]\nYou have 6 HCP and a 5-card suit. Although you can't be sure, there is a good chance your hand will be useful to partner.\nSo you bid 3NT.\nClick NEXT to continue. [NEXT]\nThe contract would be 3NT played by North.\nTo make South the declarer click ROTATE. [ROTATE]\n[PLAY N:SA,N:SQ,N:S9,N:HA,N:H6,N:H4,N:H2,N:DA,N:DT,N:D9,N:D3,N:CA,N:CK,S:SK,S:SJ,S:S3,S:HJ,S:H8,S:H3,S:D7,S:D4,S:CJ,S:CT,S:C9,S:C5,S:C4]\nSouth plays 3NT. West leads the !S4. You play dummy's !S3 and East contributes the !S6.\nMake a Plan then click [NEXT]\nWinner List: !S = 3 : !H = 1 : !D = 1 : !C = 2 :: Total = 7\nYou need two more winners. You can get them in !Cs, but only if you are careful. [NEXT]\n\nAfter you unblock the !C A K you will go to dummy and play the !CJ. Then, after the !CQ is driven out you will return to dummy for the two !C winners. That means you need <b>TWO</b> dummy entries. [NEXT]\n\nThose two entries can only be the !SK and !SJ. So you absolutely <b>MUST</b> win the first trick in your hand with the !SA. Then play the !C A K. Over to dummy by playing !S9 to !SJ. Lead the !CJ to drive out the !CQ. Win whatever they return and play !SQ to !SK to reach your two good !Cs.\nClick NEXT to see all the hands. [NEXT]\n[show NESW]\nWhen you need dummy entries you may need to win a trick in your hand with an unnecessarily high card - like in this case.\nYou can only win 3 !S tricks however you play it, so you play to suit your entry needs."
100NT,deal39.html,39,BID+NEXT,S:74 H:K752 D:95 C:AQ843,S:Q93 H:J98 D:QT72 C:K75,S:AJ5 H:A63 D:AK6 C:JT92,S:KT862 H:QT4 D:J843 C:6,South,South,1NT | pass 2C pass 2D | pass 2NT pass 3NT | pass pass pass,3NT,South,S6,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2!D]\nWith no 4-card Major suit you respond 2!D to partner's Stayman bid. Partner now bids 2NT. What do you say? [BID 3NT]\n[show NS]\nWith no 4-card Major suit you respond 2!D to partner's Stayman bid. Partner now bids 2NT. What do you say?\nWith a full 17 points you accept partner's game invitation and bid 3NT.\nClick NEXT to continue. [NEXT]\nSouth plays 3NT. West leads the !S6 on which East plays the !SQ.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 1 : !H = 2 : !D = 2 : !C = 1 :: Total = 6\nYou need 3 more tricks, obviously coming from the !C suit.\nBut the burning question right now is what do you do at trick one. Do you win or hold up? [NEXT]\n\nYou should assume that West holds the !SK.\nIf you take the !SA right now your !S J 5 will provide a second stopper if it is West who gets the lead. However, if East gets the lead he will play through your holding and you may lose 4 !S tricks.\nIf you hold up you can expect East to play another !S through your !S A J and West will then establish the suit. However, in doing so he will remove any !S held by East.\nThe answer key lies in the !C suit. You will be finessing through West, so East is the only defender who can get the lead in !Cs. Therefore you must hold up on !Ss until the third round.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nIf you win the first !S East will play a !S through your !S J 5 when he wins the !CK. West will then swamp you with !Ss.\nBut, if you hold up your !SA until the third round, East will have no !S left when he wins the !CK."
100NT,deal40.html,40,BID+NEXT,S:AQ3 H:K7 D:AJT4 C:K865,S:87 H:A9862 D:K75 C:QJ3,S:KJ652 H:QJT43 D:83 C:4,S:T94 H:5 D:Q962 C:AT972,North,South,1NT pass 2D | pass 2H pass 2S | pass 4S pass pass | pass pass pass,4S,South,H5,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2!D]\nWhen you are 5-5 in the Majors you can transfer to either suit. Most will say transfer first to !Hs when you have invitational strength. So you bid 2!D.\nPartner says 2!H; what do you bid? [BID 2!S]\n[show NS]\nWhen you are 5-5 in the Majors you can transfer to either suit. Most will say transfer first to !Hs when you have invitational strength. So you bid 2!D.\nPartner says 2!H; what do you bid?\nNow you show your other 5-card Major by bidding 2!S. This one hits the spot and partner raises to 4!S.\nClick NEXT to continue. [NEXT]\nSouth plays 4!S. West leads the !H5. East takes the !HA and returns the !H6 which West ruffs. West then plays the !D2.\nMake a Plan, then click NEXT. [NEXT]\nLoser List: !S = 0 : !H = 2 : !D = 1 : !C = 1 :: Total = 4\nThat's an odd way to show the second !H loser but you get the idea. You've lost 2 tricks already and it doesn't look like you can dodge the !CA. Soooooo, you cannot afford to lose a !D trick. [NEXT]\n\nTake dummy's !DA and then play !SA, !SK, relaxing a little when both defenders follow suit both times. [NEXT]\n\nPlay your three high !Hs, discarding all three !Ds from dummy. Play your !C toward the !CK. West will no doubt grab his !CA but the rest will be yours, since you can ruff your !D loser in dummy. \nClick NEXT to see all four hands. [NEXT]\n[show NESW]\nIt was a little unlucky to suffer that early !H ruff.\nBut it was very very lucky that the ruffer happened to be the defender with three trumps!\nThat meant you could pull trumps with two pulls, leaving that one important one in dummy."
100NT,deal41.html,41,BID+NEXT,S:K82 H:64 D:QJ986 C:A76,S:T963 H:93 D:K5 C:T9842,S:AJ4 H:AK7 D:T742 C:KJ3,S:Q75 H:QJT852 D:A3 C:Q5,South,South,1NT | 2H 3D pass 3NT | pass pass pass | pass pass pass,3NT,South,HQ,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3NT]\n[show NS]\nPartner's 3!D bid shows a 5-card suit and is forcing to game. While 5!D is possibly the best contract your double !H stopper should sway you to 3NT instead. This is the old ""9 tricks are easier than 11"" principle.\nClick NEXT to continue. [NEXT]\nSouth plays 3NT. As expected, West attacks in his !H suit.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 2 : !H = 2 : !D = 0 : !C = 2 :: Total = 6\nEven if East holds both black Queens, (not likely), you can only finesse your way to 8 tricks. Since you need 9 tricks you must establish the !D suit.\nIf West holds both the !DA and !DK then you are going down, because they will win the race to establish !Hs before you can establish !Ds. [NEXT]\n\nBut when the !DA and !DK are in different hands you have a good chance for success; it depends on East having no !H at the time he takes his !D winner. [NEXT]\n\nSo you should hold up on the first !H trick and win the second. If West started with 6 !Hs then East will be out. So whether he wins his !D trick first or second he still won't be able to continue !Hs.\nto see all four hands. [NEXT]\n[show NESW]\nAfter your hold up East has no !Hs. If he takes the first !D trick he will have to lead another suit. You will still have a !H stopper for when West wins <b>HIS</b> !D trick.\nOn the other hand, if West takes the first !D trick he can certainly drive out your last !H stopper. But then, when East takes <b>HIS</b> !D winner he will have no !H.\nFinally, if West had only a 5-card !H suit, good defense would beat you. But they have to be sure East wins the first !D trick, and they might slip up. "
100NT,deal42.html,42,BID+NEXT+ROTATE,S:K5 H:J753 D:Q62 C:8542,S:A74 H:KT42 D:J974 C:QJ,S:J96 H:A8 D:AKT53 C:AK6,S:QT832 H:Q96 D:8 C:T973,South,South,2NT | pass 3C pass 3D | pass 3NT pass pass | pass pass pass,3NT,South,S3,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3!C]\nPartner's 2NT opening shows 20-21 points so you know you want to be in game. To find out which game you bid a Stayman 3!C. Partner replies 3!D. What do you say now? [BID 3NT]\n[show NS]\nPartner's 2NT opening shows 20-21 points so you know you want to be in game. To find out which game you bid a Stayman 3!C. Partner replies 3!D. What do you say now?\nYou don't have a 4-4 !H fit, so you bid 3NT.\nClick NEXT to continue. [NEXT]\nThe contract would be 3NT played by North.\nTo make South the declarer click ROTATE. [ROTATE]\n[PLAY N:SJ,N:S9,N:S6,N:HA,N:H8,N:DA,N:DK,N:DT,N:D5,N:D3,N:CA,N:CK,N:C6,S:SK,S:S5,S:HJ,S:H7,S:H5,S:H3,S:DQ,S:D6,S:D2,S:C8,S:C5,S:C4,S:C2]\nSouth plays 3NT. West leads the !S3. Your first problem is which !S to play from dummy. That is an easy problem. If you play the !SK you might lose the first five or six tricks. If you play low you guarantee a !S stopper. East plays the !SA and returns the !S7 to dummy's !SK. West plays the !S2 on this trick.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 1 : !H = 1 : !D = 3 : !C = 2 :: Total = 7\nYou need 2 more winners, and you need to get them before you lose the lead because it appears that West can cash 3 more !S tricks.\nThat means you need all 5 !D tricks. The good news is that the 5 missing !Ds will split 3-2 about two-thirds of the time. The bad news is that they will be 4-1 about one-third of the time. Can you protect yourself against a 4-1 break? [NEXT]\n\nMaybe and maybe not. If West has !D J x x x there won't be anything you can do about it. But if East has this holding then you can succeed if you play your cards right. [NEXT]\n\n<i>Did you like that ""play your cards right"" quip?</i>First play a !D to your !DK; both defenders follow. Next play a !D to dummy's !DQ. West discards a !C. You are conveniently in dummy so you play dummy's last !D and East's !D J 9 are caught in a pincer movement by your !D A 10 5. \nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nIt was important to play the !Ds exactly as described because dummy had only one entry left, the !DQ.\nSuppose your first !D play had been dummy's !DQ. You could make your contract if you play a small !D and finesse the !D10. But at that point you wouldn't know whether the !Ds were splitting evenly or not. You'd be risking defeat on a hand where everybody who played for the 3-2 split was making the contract.\nBy taking the <b>SECOND</b> !D trick with dummy's !DQ the 4-1 split is exposed at the right time."
100NT,deal43.html,43,BID+NEXT,S:84 H:JT973 D:642 C:KJ5,S:97 H:K652 D:KQ9 C:T742,S:AK63 H:AQ D:AT75 C:A83,S:QJT52 H:84 D:J83 C:Q96,South,South,2NT | pass 3D pass 3H | pass 3NT pass pass | pass pass pass,3NT,South,SQ,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3!H]\nPartner's 3!D bid is a transfer; you dutifully reply 3!H. Partner now bids 3NT. What do you say? [BID pass]\n[show NS]\nPartner has just a 5-card !H suit. He doesn't have 4 !Ss or he would have used Stayman.\nWith no 8-card Major fit you pass 3NT.\nClick NEXT to continue. [NEXT]\nSouth plays 3NT. West leads the !SQ on which East plays the !S7.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 2 : !H = 1 : !D = 1 : !C = 2 :: Total = 6\nYou might get one more winner from the !C finesse, but basically you are going to have to establish dummy's !Hs. [NEXT]\n\nYou don't have the entries to think about going over to dummy to finesse the !HK, so you play the !HA then the !HQ, hoping a defender will grab their !HK and set up three !H winners in dummy.\nBut they allow your !HQ to hold the trick. [NEXT]\n\nNow you are desperate. You need two entries to dummy, one so you can play !Hs to force out the !HQ, and another to enjoy the good !Hs. One of these entries will be the !CK and the second will have to be the !CJ. So you play a !C to the Jack and then you . . . \n. . . click NEXT to see if the finesse worked. [NEXT]\n[show NESW]\nLucky you. West held the !CQ.\nBut don't get too smug. A lot of the plays work in these practice deals because they are set up to reward the correct Plan. In real life finesses only work half the time."
100NT,deal44.html,44,BID+NEXT+ROTATE,S:642 H:AQJT63 D:54 C:73,S:K983 H:4 D:Q96 C:K9865,S:AJ5 H:75 D:AK73 C:AJ42,S:QT7 H:K982 D:JT82 C:QT,South,South,1NT | pass 2D pass 2H | pass 3H pass 4H | pass pass pass,4H,South,DJ,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2!D]\nYou have 9 points, an invitational strength hand. With 6 !Hs you transfer partner by bidding 2!D. Partner replies 2!H. What do you say now? [BID 3!H]\n[show NS]\nYou have 9 points, an invitational strength hand. With 6 !Hs you transfer partner by bidding 2!D. Partner replies 2!H. What do you say now?\nRemember, you have invitational strength, so even with a great trump suit you bid just 3!H. Partner puts it in game at 4!H.\nClick NEXT to continue. [NEXT]\nThe contract would be 4!H played by North.\nTo make South the declarer click ROTATE. [ROTATE]\n[PLAY N:SA,N:SJ,N:S5,N:H7,N:H5,N:DA,N:DK,N:D7,N:D3,N:CA,N:CJ,N:C4,N:C2,S:S6,S:S4,S:S2,S:HA,S:HQ,S:HJ,S:HT,S:H6,S:H3,S:D5,S:D4,S:C7,S:C3]\nSouth plays 4!H. West leads the !DJ and East plays the !D9.\nMake a Plan, then click NEXT. [NEXT]\nLoser List: !S = 2 : !H = 1 : !D = 0 : !C = 1 :: Total = 4Losers are as seen from dummy, the long-trump hand.\nYou might get lucky in one of the black suits, but your best hope is that West holds the !HK.\nYou win the first !D and play a !H to dummy's !H10, which wins the trick. You smile. Return to your hand with the other !D, then play your last !H to dummy's !HJ, which wins the trick. But this time you don't smile because East discards!West still holds !H K 9 and you have no more !Hs to lead for a finesse. Does that finish you? [NEXT]\n\nNever say die. Return to your hand with a black Ace and ruff a !D in dummy. Dummy's trumps are now !H A Q 6 and West still has !H K 9. [NEXT]\n\nBack to your hand with the other black Ace and ruff another !D in dummy. Dummy's trumps are now !H A Q and West still has !H K 9. Play any black card from dummy, then sit back and wait for your two trump tricks! \nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nBad trump splits can sometimes be countered by a technique called a trump coup.\nThe coup is accomplished by ruffing to shorten the trump holding so you won't have to play trumps from that holding.\nPretty much like this hand."
100NT,deal45.html,45,BID+NEXT,S:A63 H:KQ73 D:Q87 C:J72,S:852 H:JT4 D:962 C:QT94,S:J97 H:A5 D:AKJT3 C:AK6,S:KQT4 H:9862 D:54 C:853,South,South,2NT | pass 4NT pass 6NT | pass pass pass,6NT,South,SK,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 6NT]\n[show NS]\nBecause of his 3-4-3-3 distribution, partner chose not to look for a !H fit. If he had opted for Stayman the contract would have turned out the same. The 4NT response is quantitative, inviting you to bid 6NT if you have a maximum.\nYou do. 6NT.\nClick NEXT to continue. [NEXT]\nSouth plays 6NT. West leads the !SK. You will have to make an early decision on whether to hold up or not.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 1 : !H = 3 : !D = 5 : !C = 2 :: Total = 11\nOnly one more winner is needed. You should play a low !S from dummy in the hope that West will lead the suit again, giving you a trick with your !SJ (you know West holds !SQ). In fact, you should even give him some incentive to play another !S by dropping your !S9, pretending to hold just the !S J 9. But West noticed his partner's discouraging !S2 and switched to the !C8. [NEXT]\n\nYou try the !CJ but East plays the !CQ and you have to win with your !CK. [NEXT]\n\nYour chances for success are slipping away and you are down to your last hope. Your !SJ is a threat that only West can guard against. If West also is the defender with long !Hs then he would also have to guard dummy's fourth !H. In that case you could squeeze him. But there is one important play you must make for the squeeze to function. [NEXT]\n\nYou must play dummy's !SA to unblock so your !SJ can be the threat you need. Then play the !HA, !CA and 5 !D winners. [NEXT]\n\nIf West has thrown the !SQ you win your !SJ and dummy's two high !Hs. But since he probably held onto the !SQ you just play a !H to dummy and hope all three !Hs are winners.\nClick NEXT to see if they are. [NEXT]\n[show NESW]\nSince West had to guard both the !Hs and your !SJ, he was unable to do both, and the squeeze worked.\nYou were lucky it wasn't East with the 4 !Hs."
100NT,deal46.html,46,BID+NEXT,S:J9862 H:Q2 D:AQ C:8743,S:T5 H:AK65 D:JT3 C:QJ95,S:AKQ4 H:J83 D:98 C:AK62,S:73 H:T974 D:K76542 C:T,South,South,1NT | pass 2H pass 3S | pass 4S pass pass | pass pass pass,4S,South,HT,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3!S]\n[show NS]\nPartner expects you to bid 2!S.\nBut your hand has suddenly increased in value - with the known !S fit you add another point for your doubleton and you have 18 points. So you jump to 3!S; this is called a Super-Accept. But so what. Partner just bids the game anyway.\nClick NEXT to continue. [NEXT]\nSouth plays 4!S. West leads the !H10. East plays the !HK, then !HA, then !H5.\nMake a Plan, then click NEXT. [NEXT]\nLoser List: !S = 0 : !H = 2 : !D = 1 : !C = 2 :: Total = 5\nYou need to eliminate two losers. If West has the !DK a finesse will save one loser. If !Cs split 3-2 that will eliminate one loser. And of course your !HJ is ready to provide an immediate discard. [NEXT]\n\nSo what are you going to discard right now on that !HJ? It looks obvious to discard the !DQ; then if the !Cs do split 3-2 (68% chance) you will be home free, losing only two !Hs and one!C. [NEXT]\n\nThrowing the !DQ is a bad idea. And basically unnecessary. If the !Cs are splitting 3-2 you don't need to keep a fourth !C in both hands. So discard a small !C from dummy and keep the !DQ just in case the !Cs turn out 4-1 and you have to fall back on the !D finesse. \nClick NEXT to see why. [NEXT]\n[show NESW]\nLooking at all four hands you can see why you needed to keep the !DQ.\nAfter you pull trumps you play the top two !Cs and discover (too late) that you cannot set up a !C winner.\nBut what if the !DK was actually with East, and the !Cs were splitting 3-2 all the time?\nClick for an alternate possibility. [NEXT]\n[PLAY E:CQ,E:C5,W:DK,W:D2]\nIn this scenario it is still ok to discard a small !C from dummy.\nYou pull trumps first, then play two top !Cs. When both defenders follow you give up a !C. West wins and plays a !D, but you go up with dummy's !DA, enter your hand with a trump and <b>NOW</b> discard that !DQ on your good !C. "
100NT,deal47.html,47,BID+NEXT,S:KJ4 H:75 D:A742 C:QT62,S:A62 H:QJT843 D:93 C:84,S:QT9 H:AK2 D:KT6 C:KJ93,S:8753 H:96 D:QJ85 C:A75,East,South,2H 2NT | pass 3NT pass pass | pass | pass pass pass,3NT,South,H9,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2NT]\n[show NS]\nYou should be sure you and partner are on the same page with this bid. A 2NT overcall over a Weak-2 opener shows the same hand as a 1NT overcall over a 1 of a suit opener. In other words, 15-18 points, and at least 1 (preferably 2), stoppers in their suit.\nPartner, who is on the same page, bids 3NT.\nClick NEXT to continue. [NEXT]\nSouth plays 3NT. West leads the !H9. As expected, West leads his partner's !H suit.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 0 : !H = 2 : !D = 2 : !C = 0 :: Total = 4\nYou need 5 more winners. This is important to keep in mind.\nYou can establish at most 1 winner in !Ds, 2 in !Ss, and 3 in !Cs. Since you must work on both !Ss and !Cs, you don't need to try for anything extra in !Ds. [NEXT]\n\nIf East has both black Aces you will go down, but you know that he cannot have two outside Aces with a 6-card !H suit headed by the Q J and still open with a weak 2-bid. So West must have at least one of the black Aces. [NEXT]\n\nIf you could guess which Ace East holds you could work on that suit first. He would win it, then get his !Hs established, but wouldn't be able to get back in to cash them.\nBut better than guessing, you should just holdup on the first !H trick and win the next one. Then it won't matter which Ace you knock out first because West will not have a !H to play in either case.\nClick NEXT to see. [NEXT]\n[show NESW]\nIf you win the first trick and then play !Ss, you will be lucky. East will have to take his !SA and then establish his !Hs. And when West takes the !CA he won't have a !H to play.\nIf you win the first trick and then play !Cs, you will be unlucky. West will  take his !CA and play his last !H. Then when East takes the !SA he will set you with !H tricks.\nIf you hold up on first trick luck won't come into it. It will no longer matter which black suit you establish first."
100NT,deal48.html,48,BID+NEXT+ROTATE,S:Q63 H:842 D:Q8 C:KQT96,S:JT95 H:73 D:JT74 C:743,S:A74 H:AK5 D:A63 C:J852,S:K82 H:QJT96 D:K952 C:A,South,South,1NT | 2H 3C pass 3NT | pass pass pass,3NT,South,HQ,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 3!C]\n[show NS]\nAfter the overcall of your partner's opening 1NT you must make a quick decision with this type of hand:Force to game or settle for partscore. Using lebensohl, a suit bid at the 3-level shows a 5-card or longer suit and is game forcing. You go for it by bidding 3!C (not Stayman) and partner says 3NT.\nClick NEXT to continue. [NEXT]\nThe contract would be 3NT played by North.\nTo make South the declarer click ROTATE. [ROTATE]\n[PLAY N:SA,N:S7,N:S4,N:HA,N:HK,N:H5,N:DA,N:D6,N:D3,N:CJ,N:C8,N:C5,N:C2,S:SQ,S:S6,S:S3,S:H8,S:H4,S:H2,S:DQ,S:D8,S:CK,S:CQ,S:CT,S:C9,S:C6]\nSouth plays 3NT. West leads the !HQ. You must make an immediate decision whether to hold up or not.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 1 : !H = 2 : !D = 1 : !C = 0 :: Total = 4\nOf course the !C suit will produce 4 winners so you need just one more in !Ss or !Ds.\nFirst the question of holding up or not. The reason for a hold-up play is to be sure that when East gains the lead he has no !Hs remaining. But in this Deal you can place most of the strength with West so you don't need to hold up. And, in fact, there is a good reason why you shouldn't. [NEXT]\n\nWin the first trick with your !HK and immediately play a !C, taken by West's !CA. He plays the !HJ which you win with your !HA. East followed suit to the second !H! [NEXT]\n\nWest has 3 !H winners in his hand. There is a good chance that he has the !SK and !DK as well. So if you play either of those suits, leading toward the Queen, West will jump up with his King and put you down 1. So instead, play a !C winner, and when West shows out, play your last !H! West will smile as he takes his three !H winners but then he will frown when he realizes he must lead away from one of his Kings! You, of course, will jump up with dummy's Queen of that suit for your ninth trick.\nClick for the full deal. [NEXT]\n[RESET]\n[show NESW]\nWe learn at bridge that you should lead toward high cards to try to establish them. For example, in this Deal leading toward the !SQ would establish a winner as long as West held the !SK. Unfortunately you would be giving up the setting trick as you established the winner.\nAlways keep in the back of your mind the possibility of an elimination play. In this Deal that meant you needed to refuse the hold-up because you would need the third !H to throw West in with."
100NT,deal49.html,49,BID+NEXT,S:AK7632 H:653 D:7 C:T86,S:QJ95 H:J4 D:KT82 C:J73,S:84 H:A872 D:A964 C:AKQ,S:T H:KQT9 D:QJ53 C:9542,South,South,1NT | pass 2H pass 2S | pass 3S pass 4S | pass pass pass,4S,South,HK,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2!S]\nPartner's 2!H bid is a transfer; you respond 2!S. Partner now bids 3!S.  What do you bid? [BID 4!S]\n[show NS]\nPartner's 2!H bid is a transfer; you respond 2!S. Partner now bids 3!S.  What do you bid? \nYou wouldn't have chosen !Ss for a trump suit.\nBut you aren't doing the choosing, partner is. He has set the trump suit as !Ss and asks that you bid game if you have a maximum 1NT opening. So you bid 4!S, as instructed.\nClick NEXT to continue. [NEXT]\nSouth plays 4!S. West leads !HK, East plays !HJ. You have no reason to hold up so you win the !HA.\nMake a Plan, then click NEXT. [NEXT]\nLoser List: !S = ? : !H = 2 : !D = 0 : !C = 0 :: Total = ?\nThings look simple. You can afford one !S loser so as long as they split 3-2 you will succeed. So you play !SA, !SK; West follows to the first and discards a !D on the second. [NEXT]\n\nOK, East has two trump tricks, but don't give up. Maybe, just maybe, there is a way out. Check your winners:You have won 3 tricks - !HA and !S A K. You have 4 more top winners - !DA and !C A K Q. If you can somehow add 3 more small trumps that will be the 10 you need. [NEXT]\n\nPlay dummy's !D7 to your !DA, then ruff a !D. Play a !C to your hand and ruff another !D. Play another !C to your hand and ruff your last !D. While you are ruffing these three !Ds East is helplessly following suit.\nNow play to your good !C while East again has to follow suit.\nYou have taken the first 10 tricks. Poor East is going to end up ruffing his partner's !D winner with one of his master trumps.\nClick NEXT to see all four hands. [NEXT]\n[show NESW]\nTrumps don't always split as evenly as you would like them to.\nWhen they split badly, sometimes you can recover by ruffing with small trumps while the trump-heavy defender has to follow suit.\nThis is called ""trump elopement""."
100NT,deal50.html,50,BID+NEXT+ROTATE,S:876 H:Q85 D:AJ2 C:KQJ3,S:T942 H:JT43 D:54 C:T85,S:AKJ H:A72 D:KQ76 C:A94,S:Q53 H:K96 D:T983 C:762,South,South,2NT | pass 6NT pass pass | pass pass pass,6NT,South,DT,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 6NT]\n[show NS]\nSometimes bidding is easy. Partner has 20 or 21 points, balanced. You have 13 points, balanced. Total = 33 or 34 points, balanced. So you close your eyes and bid 6NT.\nClick NEXT to continue. [NEXT]\nThe contract would be 6NT played by North.\nTo make South the declarer click ROTATE. [ROTATE]\n[PLAY N:SA,N:SK,N:SJ,N:HA,N:H7,N:H2,N:DK,N:DQ,N:D7,N:D6,N:CA,N:C9,N:C4,S:S8,S:S7,S:S6,S:HQ,S:H8,S:H5,S:DA,S:DJ,S:D2,S:CK,S:CQ,S:CJ,S:C3]\nSouth plays 6NT. West leads the !D10. Too bad West didn't lead a !S. Oh, well.\nMake a Plan, then click NEXT. [NEXT]\nWinner List: !S = 2 : !H = 1 : !D = 4 : !C = 4 :: Total = 11\nThere is no way to get more than 4 winners in each minor suit, so you need to win either the !SJ or !HQ.\nWhich one should you try? [NEXT]\n\nWhy not try both? If you make sure you try them in the right order you can have both chances. [NEXT]\n\nSuppose you lead a small !S from dummy and play your !SJ, and it loses to West's !SQ. If you then try leading a small !H toward dummy's !HQ, obviously the defender with the !HK will grab it to set the contract.\nInstead, try the effect of leading toward the !HQ first. If West has the !HK then you will succeed in creating the extra winner you need. But what if you play the !HQ and East takes it with his !HK? Too bad, but at least you are not dead yet. You still have a chance to finesse  East for the !SQ.\nClick for the full deal. [NEXT]\n[RESET]\n[show NESW]\nHere is an important principle. There are two critical cards, the !SQ and the !HK. However they are not the same degree of criticality.\nIf the !SQ is in a favorable position, (with East), you are always going to make your contract no matter which you try first.\nBut if only the !HK is in a favorable position, (with West), you can make the contract only if you try !Hs first."
100NT,deal51.html,51,BID+NEXT,S:742 H:KQJ65 D:73 C:A83,S:T85 H:3 D:KT92 C:76542,S:AKQJ H:742 D:J864 C:KQ,S:963 H:AT98 D:AQ5 C:JT9,South,South,1NT | pass 2D pass 2H | pass 3NT pass 4H | pass pass pass,4H,South,CJ,"[show S]\nThe bidding has gone as shown. Decide what you would say, then click on <b>BID</b> above. [BID 2!H]\nPartner's 2!D bid is a transfer; you respond 2!H. Partner now bids 3NT.  What do you bid? [BID 4!H]\n[show NS]\nPartner's 2!D bid is a transfer; you respond 2!H. Partner now bids 3NT.  What do you bid? \nPartner tells you that he has enough points to be in game, and that he holds exactly 5 !Hs. With your 3 !Hs you know of an 8-card Major fit so you correct the contract to 4!H.\nClick NEXT to continue. [NEXT]\nSouth plays 4!H. West leads the !CJ. You win the opening lead with your !CQ.\nMake a Plan, then click NEXT. [NEXT]\nLoser List: !S = 0 : !H = ? : !D = 2 : !C = 0 :: Total = ?\nThe 2 !D losers are unavoidable, and even you will have to give up a trick to the Ace of trumps. So you have to make sure not to lose a second !H. [NEXT]\n\nWin the !CQ and play a small !H to dummy's !HJ, which holds the trick. [NEXT]\n\nI hope you didn't continue drawing trumps by playing the !HK. If you did then you are going down in an ice-cold contract.\nThe way to lose only one !H trick is to keep leading toward dummy's honors. So come to your hand with a black card and play another !H in that direction, leading through West's !HA. When you win that trick repeat the maneuver.\nClick NEXT to see why this was necessary (but you've already figured it out, right?). [NEXT]\n[show NESW]\nIt is really against the odds for West to hold !H A 10 9 x. In fact it would only occur perhaps one time in seven.\nBut there is no reason to go down once every seven times when you don't need to."
